symbol,x,y,z,ngram_count,syn_coverage,monster_density,connections
_ZN4jiff3fmt8friendly7printer17FractionalPrinter28has_non_zero_fixed_precision17hc079641cf7e28576E,0.272,0.020,12.447,60,0.0,0.5233,5
_ZN17rustc_driver_impl12run_compiler28_$u7b$$u7b$closure$u7d$$u7d$10__CALLSITE4META17hdad3cfaf039e963bE,1.060,0.048,12.393,65,0.0,0.4793,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17hdbea5b64a4514db5E,1.023,0.019,12.393,65,0.0,0.5325,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17h0fc16022bf0afcafE,1.055,0.037,12.393,65,0.0,0.4793,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17h6c182320991ca160E,1.061,0.036,12.393,65,0.0,0.4793,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17h08d73cb47e03ea49E,1.023,0.036,12.393,65,0.0,0.5325,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17haacd606a6ff44d56E,1.070,0.034,12.393,65,0.0,0.4793,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17h4d28e2e76aa0c73bE,1.037,0.048,12.393,65,0.0,0.5325,5
_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17hf4de87750bdb0008E,1.022,0.029,12.393,65,0.0,0.5325,5
_ZN4jiff3fmt8friendly7printer17FractionalPrinter24has_zero_fixed_precision17h1cdaa585f9275b2aE,0.240,0.023,12.392,60,0.0,0.5538,5
_ZN4jiff3fmt8friendly7printer16DesignatorWriter23maybe_write_prefix_sign17h7b550a9390abf4e5E,1.112,0.048,12.371,65,0.0,0.4793,5
_ZN3std2io5error14repr_bitpacked14kind_from_prim17hd4372d09aa60d289E,53.380,3.336,12.350,75,0.0,0.4460,5
_ZN4core3ptr9const_ptr33_$LT$impl$u20$$BP$const$u20$T$GT$20offset_from_unsigned18precondition_check17h56a6d942e9f44d55E,3.115,0.226,12.350,65,0.0,0.4837,5
_ZN4core3ptr9const_ptr33_$LT$impl$u20$$BP$const$u20$T$GT$20offset_from_unsigned18precondition_check17h5384d106f8d2863eE,2.896,0.215,12.350,65,0.0,0.5266,5
_ZN3std2io5error14repr_bitpacked14kind_from_prim17ha4c317204b57531eE,53.380,3.336,12.350,75,0.0,0.4460,5
_ZN3std2io5error14repr_bitpacked14kind_from_prim17ha44cf6752ec369bbE,53.380,3.336,12.350,75,0.0,0.4460,5
_ZN4core3ptr9const_ptr33_$LT$impl$u20$$BP$const$u20$T$GT$20offset_from_unsigned18precondition_check17hbb3c632091330a4bE,2.868,0.264,12.350,65,0.0,0.4984,5
_ZN4jiff6shared5posix6Parser16parse_hour_posix17h77fb04da3c74052dE,9.266,0.737,12.200,65,0.0,0.4724,5
_ZN4jiff6shared5posix6Parser21parse_hour_ianav3plus17ha4fcd6e75f8a3047E,12.128,0.778,12.200,70,0.0,0.4866,5
_ZN4core3ptr25swap_nonoverlapping_bytes17hb08637b24be995aaE,4.670,0.299,12.166,65,0.0,0.4912,5
_ZN4core3ptr25swap_nonoverlapping_bytes25swap_nonoverlapping_short17ha2cae6dd495111c8E,8.643,0.586,12.166,65,0.0,0.5764,5
_ZN4core3ptr25swap_nonoverlapping_bytes25swap_nonoverlapping_short17hd0455da169df1201E,8.643,0.587,12.166,65,0.0,0.5764,5
