🎯 Simple BFS from Main Routine

Starting BFS from: static META

Order | Emoji | Name                          | Calls
  487 | ❓     | "hir_attr_map"                | 
  488 | ❓     | "rustc_query_impl::query_impl | 
  489 | ❓     | "rustc_query_impl::query_impl | 
  490 | ❓     | "opt_ast_lowering_delayed_lin | 
  491 | ❓     | "rustc_query_impl::query_impl | 
  492 | ❓     | "rustc_query_impl::query_impl | 
  493 | ❓     | "const_param_default"         | 
  494 | ❓     | "rustc_query_impl::query_impl | 
  495 | ❓     | "rustc_query_impl::query_impl | 
  496 | ❓     | "type_of"                     | 
  497 | ❓     | "rustc_query_impl::query_impl | 
  498 | ❓     | "rustc_query_impl::query_impl | 
  499 | ❓     | "type_of_opaque"              | 
  500 | ❓     | "rustc_query_impl::query_impl | 
  501 | ❓     | "rustc_query_impl::query_impl | 
  502 | ❓     | "type_of_opaque_hir_typeck"   | 
  503 | ❓     | "rustc_query_impl::query_impl | 
  504 | ❓     | "rustc_query_impl::query_impl | 
  505 | ❓     | "type_alias_is_lazy"          | 
  506 | ❓     | "rustc_query_impl::query_impl | 
  507 | ❓     | "rustc_query_impl::query_impl | 
  508 | ❓     | "collect_return_position_impl | 
  509 | ❓     | "rustc_query_impl::query_impl | 
  510 | ❓     | "rustc_query_impl::query_impl | 
  511 | ❓     | "opaque_ty_origin"            | 
  512 | ❓     | "rustc_query_impl::query_impl | 
  513 | ❓     | "rustc_query_impl::query_impl | 
  514 | ❓     | "unsizing_params_for_adt"     | 
  515 | ❓     | "rustc_query_impl::query_impl | 
  516 | ❓     | "rustc_query_impl::query_impl | 
  517 | ❓     | "analysis"                    | 
  518 | ❓     | "rustc_query_impl::query_impl | 
  519 | ❓     | "rustc_query_impl::query_impl | 
  520 | ❓     | "check_expectations"          | 
  521 | ❓     | "rustc_query_impl::query_impl | 
  522 | ❓     | "rustc_query_impl::query_impl | 
  523 | ❓     | "generics_of"                 | 
  524 | ❓     | "rustc_query_impl::query_impl | 
  525 | ❓     | "rustc_query_impl::query_impl | 
  526 | ❓     | "predicates_of"               | 
  527 | ❓     | "rustc_query_impl::query_impl | 
  528 | ❓     | "rustc_query_impl::query_impl | 
  529 | ❓     | "opaque_types_defined_by"     | 
  530 | ❓     | "rustc_query_impl::query_impl | 
  531 | ❓     | "rustc_query_impl::query_impl | 
  532 | ❓     | "nested_bodies_within"        | 
  533 | ❓     | "rustc_query_impl::query_impl | 
  534 | ❓     | "rustc_query_impl::query_impl | 
  535 | ❓     | "explicit_item_bounds"        | 
  536 | ❓     | "rustc_query_impl::query_impl | 
  537 | ❓     | "rustc_query_impl::query_impl | 
  538 | ❓     | "explicit_item_self_bounds"   | 
  539 | ❓     | "rustc_query_impl::query_impl | 
  540 | ❓     | "rustc_query_impl::query_impl | 
  541 | ❓     | "item_bounds"                 | 
  542 | ❓     | "rustc_query_impl::query_impl | 
  543 | ❓     | "rustc_query_impl::query_impl | 
  544 | ❓     | "item_self_bounds"            | 
  545 | ❓     | "rustc_query_impl::query_impl | 
  546 | ❓     | "rustc_query_impl::query_impl | 
  547 | ❓     | "item_non_self_bounds"        | 
  548 | ❓     | "rustc_query_impl::query_impl | 
  549 | ❓     | "rustc_query_impl::query_impl | 
  550 | ❓     | "impl_super_outlives"         | 
  551 | ❓     | "rustc_query_impl::query_impl | 
  552 | ❓     | "rustc_query_impl::query_impl | 
  553 | ❓     | "native_libraries"            | 
  554 | ❓     | "rustc_query_impl::query_impl | 
  555 | ❓     | "rustc_query_impl::query_impl | 
  556 | ❓     | "shallow_lint_levels_on"      | 
  557 | ❓     | "rustc_query_impl::query_impl | 
  558 | ❓     | "rustc_query_impl::query_impl | 
  559 | ❓     | "lint_expectations"           | 
  560 | ❓     | "rustc_query_impl::query_impl | 
  561 | ❓     | "rustc_query_impl::query_impl | 
  562 | ❓     | "lints_that_dont_need_to_run" | 
  563 | ❓     | "rustc_query_impl::query_impl | 
  564 | ❓     | "rustc_query_impl::query_impl | 
  565 | ❓     | "expn_that_defined"           | 
  566 | ❓     | "rustc_query_impl::query_impl | 
  567 | ❓     | "rustc_query_impl::query_impl | 
  568 | ❓     | "is_panic_runtime"            | 
  569 | ❓     | "rustc_query_impl::query_impl | 
  570 | ❓     | "rustc_query_impl::query_impl | 
  571 | ❓     | "representability"            | 
  572 | ❓     | "rustc_query_impl::query_impl | 
  573 | ❓     | "rustc_query_impl::query_impl | 
  574 | ❓     | "representability_adt_ty"     | 
  575 | ❓     | "rustc_query_impl::query_impl | 
  576 | ❓     | "rustc_query_impl::query_impl | 
  577 | ❓     | "params_in_repr"              | 
  578 | ❓     | "rustc_query_impl::query_impl | 
  579 | ❓     | "rustc_query_impl::query_impl | 
  580 | ❓     | "thir_body"                   | 
  581 | ❓     | "rustc_query_impl::query_impl | 
  582 | ❓     | "rustc_query_impl::query_impl | 
  583 | ❓     | "mir_keys"                    | 
  584 | ❓     | "rustc_query_impl::query_impl | 
  585 | ❓     | "rustc_query_impl::query_impl | 
  586 | ❓     | "mir_const_qualif"            | 
  587 | ❓     | "rustc_query_impl::query_impl | 
  588 | ❓     | "rustc_query_impl::query_impl | 
  589 | ❓     | "mir_built"                   | 
  590 | ❓     | "rustc_query_impl::query_impl | 
  591 | ❓     | "rustc_query_impl::query_impl | 
  592 | ❓     | "thir_abstract_const"         | 
  593 | ❓     | "rustc_query_impl::query_impl | 
  594 | ❓     | "rustc_query_impl::query_impl | 
  595 | ❓     | "mir_drops_elaborated_and_con | 
  596 | ❓     | "rustc_query_impl::query_impl | 
  597 | ❓     | "rustc_query_impl::query_impl | 
  598 | ❓     | "mir_for_ctfe"                | 
  599 | ❓     | "rustc_query_impl::query_impl | 
  600 | ❓     | "rustc_query_impl::query_impl | 
  601 | ❓     | "mir_promoted"                | 
  602 | ❓     | "rustc_query_impl::query_impl | 
  603 | ❓     | "rustc_query_impl::query_impl | 
  604 | ❓     | "closure_typeinfo"            | 
  605 | ❓     | "rustc_query_impl::query_impl | 
  606 | ❓     | "rustc_query_impl::query_impl | 
